# ID SN_Type SN_RA SN_Dec Redshift Kind_z Host_Name Host_RA Host_Dec vflag rmag AbsMag
139 Candidate 29.078099999999996 1.3342999999999998 -999.0 -999 "IC 175" -999.0 -999.0 -999 -999.0 -999.0
140 Candidate 85.69817916666666 82.45739444444445 0.034897 host "2MASX J05424549+8227386" 85.68954166666666 82.46072222222223 9 14.46964 -20.628403981893022
141 Candidate 100.21079166666665 9.262583333333334 -999.0 -999 "NGC 2264" -999.0 -999.0 -999 -999.0 -999.0
142 Candidate 228.31009999999998 4.286 0.036495 -999 "IC 1105" -999.0 -999.0 0 -999.0 -999.0
143 IIn 112.23320833333332 56.19616666666666 0.017896 -999 "MCG +09-13-02" -999.0 -999.0 9 -999.0 -999.0
144 Candidate 220.01122499999997 -1.5281 0.080166 host "2dFGRS N281Z200" -999.0 -999.0 2 -999.0 -999.0
145 Candidate 221.21832083333328 0.36679999999999996 0.037 host "2MASX J14445214+0021568, PGC 1164079" 221.21724999999995 0.36577777777777776 2 15.32181 -19.90330213497461
146 Candidate 212.26741249999998 -0.08988888888888888 -999.0 -999 "SDSS J140904.03-000520.9" 212.26679166666665 -0.08913888888888888 -999 18.69936 nan
147 Candidate 218.408675 0.2924083333333333 0.12529 host "SDSS J143337.84+001732.5" 218.40766666666664 0.2923611111111111 9 19.57285 -18.30083556082627
148 Candidate 218.05819999999997 -1.8794388888888889 0.05398 host "SDSS J143214.11-015243.4" 218.05879166666662 -1.8787222222222222 2 18.92001 -17.12525791574213
149 Candidate 157.17829999999998 -0.14429999999999998 0.035 host "SDSS J102842.76-000840.1" 157.17816666666667 -0.14447222222222222 2 17.66911 -17.43533373639102
150 Candidate 41.020199999999996 0.7747 0.045 host "SDSS J024403.83+004629.6" 41.01595833333333 0.774888888888889 9 14.89502 -20.75514608351635
151 Candidate 162.9937 -0.7251 0.108 host "SDSS J105158.38-004327.0" 162.99325 -0.7241666666666666 9 17.52049 -20.030732292074386
152 Candidate 6.560375 0.5456 0.064 host "SDSS J002614.76+003246.7" 6.5615 0.5463055555555556 9 15.71347 -20.70153338455907
