# ID claimedtype dec host hostdec hostra ra redshift redshift_kind
333 "" -5.519069444444445 Unknown "" "" 95.52857916666665 "" ""
334 "" -49.56746944444445 "NGC 1803" "" "" 76.36127083333331 0.013626 host
336 "" 50.066919444444444 "SDSS J145650.75+500400.7" 50.066861111111116 224.21145833333333 224.2131083333333 0.072351 host
337 "" -38.301719444444444 "" "" "" 216.36809999999994 0.0 spectroscopic
338 "" -67.24865 Unknown "" "" 127.62932083333332 0.0 spectroscopic
339 "" 72.5981361111111 "2MASX J14534719+7235530" 72.59805555555555 223.44662499999995 223.44632499999997 "" ""
340 "" -19.67073888888889 "2MASX J10225269-1940116" -19.66988888888889 155.71954166666666 155.71945833333334 0.021512 host
341 "" 71.58128888888889 Unknown "" "" 301.06629166666664 "" ""
342 "" 6.037988888888889 "SDSS J111610.11+060225.3" 6.040361111111111 169.042125 169.04250833333333 0.039 host
343 "" -85.14991111111112 Unknown "" "" 249.21894166666664 "" ""
344 "" 20.096638888888886 "CGCG 091-005" "" "" 137.26989166666664 0.027616 host
345 Ibn 6.4198611111111115 "SDSS J151142.60+062511.9" 6.419972222222222 227.92749999999998 227.9278708333333 0.031916 host
346 "" 18.67383888888889 "SDSS J104623.08+184026.7" 18.674083333333336 161.59616666666668 161.59597083333333 "" ""
347 "" -19.54833888888889 Unknown "" "" 292.21142083333325 "" ""
348 "" -38.712988888888894 "2MASX J15160198-3842498" -38.71383333333333 229.00825 229.00841666666665 0.039207 host
349 "" 29.37286111111111 "2MASX J11192721+2922223" 29.37286111111111 169.863375 169.8640708333333 0.060568 host
352 "" -17.72326111111111 "2MASX J02040678-1743294" -17.724833333333333 31.028249999999996 31.027529166666667 "" ""
353 "" -66.54103888888889 Unknown "" "" 288.1658208333333 "" ""
354 "" -46.191180555555555 Unknown "" "" 312.88527916666663 "" ""
355 "" -29.134988888888888 "2MASX J13373954-2907572" -29.132555555555555 204.41475 204.41294166666665 0.018176 host
356 Candidate -33.69246111111111 "NGC 7267" "" "" 336.0909708333333 0.011191 host
357 Candidate -41.93835 "ESO 304- G 024, ESO 304-G24, ESO 304-G 024" "" "" 72.47697083333333 0.019657 host
358 "" -0.3738888888888889 "" "" "" 256.96352916666666 "" ""
359 "" -11.90473888888889 "" "" "" 277.9468708333333 "" ""
360 "" -54.478769444444445 "GALEXASC J202935.44-542844.5" -54.47902777777778 307.3976666666666 307.39887916666663 "" ""
362 Candidate -34.07431944444445 "2MASS J23534025-3404302" -34.07505555555556 358.4177083333333 358.41844999999995 0.056 host
364 "" -42.42106111111111 "LCRS B235854.2-424158" "" "" 0.36772916666666655 0.05371 host
365 "" -2.5565305555555553 "2MASX J04185624-0233220" -2.556111111111111 64.73433333333332 64.73497083333334 0.017269 host
366 "" 37.58188055555556 Unknown "" "" 333.51509166666665 "" ""
367 Candidate -53.24036944444445 "6dF0642388-531423, 6dF J0642387-531423" -53.23972222222222 100.66124999999998 100.66287083333333 0.027012 ""
368 "" -67.9676 "" "" "" 138.9939583333333 "" ""
369 "" -60.79631944444444 "2MASX J00534739-6047509" -60.79747222222222 13.447458333333332 13.453241666666663 0.027666 host
370 "" 41.3982 "2MASX J17550444+4123549" 41.398583333333335 268.76849999999996 268.76837916666665 "" ""
371 "" -49.21905 "2MASX J06071977-4913084" -49.219 91.83237499999998 91.83277083333331 "" ""
372 "" -47.07325 "2MASS J04292713-4704232" -47.07311111111112 67.36304166666666 67.3633 "" ""
373 "" -39.0439 "2MASX J10483385-3902375" -39.043749999999996 162.14104166666667 162.14012916666664 0.044664 host
374 "" -26.958019444444442 "2MASX J22465971-2657280" -26.95777777777778 341.7487916666666 341.74909166666663 0.058424 host
375 "" -25.19525 "2MASX J00012190-251144, 2MASX J00012190-2511446" -25.195555555555554 0.34124999999999994 0.3418208333333333 0.027702 host
376 "" -33.61008888888889 "2MASS J00040874-3336378" -33.6105 1.0364166666666665 1.03585 0.073521 host
377 "" 86.05023055555556 "2MASX J09201657+8603002" 86.05005555555556 140.06904166666666 140.069 "" ""
378 Candidate -61.280338888888885 "GALEXASC J042901.67-611651.0" -61.280833333333334 67.25695833333332 67.2558 0.064 host
379 "" -62.12428888888889 "2MASX J02452974-6207300" -62.125 41.37391666666666 41.36942916666666 0.0257 host
380 "" -72.18828055555556 Unknown "" "" 136.88147083333334 "" ""
381 "" -61.00796944444444 "ESO 121- G 038, ESO 121-G38, ESO 121-G 038" "" "" 98.38954999999999 0.046679 host
382 "" -23.603980555555555 "" "" "" 77.31562083333333 "" ""
383 "" -45.25671944444444 "" "" "" 92.35419166666667 "" ""
384 "" -12.677669444444444 "" "" "" 237.73917916666664 "" ""
385 "" -13.528461111111111 "" "" "" 266.77402083333334 "" ""
386 Candidate -53.47638888888889 "GALEXASC J020422.26-532846.9, LEDA 429512" -53.47969444444445 31.092750000000002 31.08960833333333 "" ""
387 Candidate -85.69826111111111 "2MASX J06253176-8541548" -85.69855555555556 96.38233333333332 96.32085 0.041665 host
388 "" -47.23563055555556 "GALEXASC J032840.28-471403.3" -47.23425 52.16783333333333 52.17149166666666 0.03883 host
389 "" -54.06048055555555 "2MASX J03482622-5403381" -54.060583333333334 57.109249999999996 57.10879999999999 "" ""
390 Candidate -36.76476944444445 "ESO 357-24, ESO 357-G24, ESO 357-G 024" "" "" 50.72512499999999 0.041062 ""
391 "" -47.93481944444444 "" "" "" 127.58264999999997 "" ""
392 "" -59.20893055555556 "" "" "" 153.8496583333333 "" ""
393 "" -37.209811111111115 "" "" "" 183.22109166666664 "" ""
394 "" -66.4276388888889 "2MASX J17483658-6625421" -66.42836111111112 267.1524166666666 267.15885833333334 0.040044 host
395 "" -38.95965 "LCRS B041846.9-390434" "" "" 65.13271666666665 0.041229 host
396 "" -71.69241111111111 "IC 4712" "" "" 277.7788583333333 0.012799 host
397 "" -63.196730555555554 "2MASX J02351770-6311480" -63.196666666666665 38.82375 38.8225 "" ""
398 "" -50.392630555555556 "2MASX J20375985-5023335" -50.39263888888889 309.499375 309.5002208333333 0.063087 host
399 "" -18.340580555555555 "2MASX J21331035-1820223" -18.339527777777775 323.293125 323.2937416666667 "" ""
400 "" -59.41366111111111 "ESO 147- G 006, ESO 147-G6, ESO 147-G 006" "" "" 340.82814999999994 0.017179 host
401 "" -33.41523055555555 "Milky Way" "" "" 263.5572708333333 "" ""
402 "" -63.393819444444446 "IC 4770" "" "" 282.05604999999997 0.01447 host
404 Candidate -54.185919444444444 "ESO 187- G 038, ESO 187-G38, ESO 187-G 038" "" "" 314.67287916666663 0.044107 host
405 II -21.359911111111114 "NGC 2207" "" "" 94.09275 0.009143 host
406 "" -71.61266944444444 "2MASX J17143533-7136446" -71.61238888888889 258.6472083333333 258.65012083333335 0.03 host
407 "" 0.4144305555555556 "2MASX J21255379+0024583" 0.4161944444444445 321.47412499999996 321.47269166666666 0.03177 host
408 Candidate -11.090411111111111 "2MASX J22522926-1105320" -11.092222222222222 343.1219166666666 343.12232083333333 0.025271 host
409 "" 0.0 "" "" "" 359.3470791666666 "" ""
410 "" 0.0 "" "" "" 137.65787916666662 "" ""
411 "" 74.1206611111111 "" "" "" 277.6205083333333 "" ""
412 "" -16.945138888888888 "" "" "" 190.30192916666664 "" ""
413 "" -59.23443888888889 "2MASX J00521308-5914031" -59.23419444444445 13.054499999999999 13.053958333333332 "" ""
414 "" 2.0032083333333333 "" "" "" 196.82692083333333 "" ""
415 "" -2.106588888888889 "" "" "" 224.13695833333333 "" ""
416 "" -65.62203888888888 "" "" "" 267.62262083333326 "" ""
417 "" 25.343669444444444 "" "" "" 263.52664166666665 "" ""
418 Candidate -1.1747472222222224 "" "" "" 244.9918958333333 "" ""
419 Candidate 0.816625 "SDSS J115731.45+004901.6" 0.8171111111111111 179.38104166666662 179.38309999999998 0.06227 host
420 Candidate -0.24855555555555556 "NGC 5366" "" "" 209.10155833333332 0.02975 host
421 Candidate 14.326383333333332 "" "" "" 14.34612083333333 "" ""
422 Candidate -1.2744 "LEDA 73961" "" "" 21.590633333333333 "" ""
423 Candidate -9.378408333333335 "MCG -02-03-018, MCG -02-03-18" "" "" 11.947116666666666 0.013963 host
